AP,Score
WAP001,0.0
WAP002,0.0
WAP003,0.0
WAP004,0.0
WAP005,0.0
WAP006,0.00927938534921282
WAP007,0.0
WAP008,0.02342676870594273
WAP009,0.0
WAP010,0.0018660659028815528
WAP011,0.003247218825944543
WAP012,0.0034189195308608426
WAP013,0.0
WAP014,0.0
WAP015,0.03274577729475162
WAP016,0.030055170644085197
WAP017,4.3396881462361695e-05
WAP018,0.0
WAP019,0.0
WAP020,0.0
WAP021,0.0006132168032725021
WAP022,0.0006320850126039638
WAP023,0.0019264441727422296
WAP024,0.0018811604703467223
WAP025,0.0
WAP026,0.0
WAP027,0.0020170115775332456
WAP028,0.002509471841084393
WAP029,0.0009113345107095957
WAP030,0.0009679391387039804
WAP031,0.0
WAP032,0.0
WAP033,0.0
WAP034,0.0
WAP035,0.0055246116922519585
WAP036,0.005188757566151941
WAP037,0.03829680448006763
WAP038,0.03175330948391674
WAP039,0.0
WAP040,0.0
WAP041,0.0
WAP042,0.0
WAP043,0.0001584929583842775
WAP044,0.00012830382345393893
WAP045,0.0025811710365439477
WAP046,0.004341574967169316
WAP047,0.0
WAP048,0.0
WAP049,1.1320925598876965e-05
WAP050,7.547283732584643e-06
WAP051,0.00018113480958203144
WAP052,0.00019245573518090838
WAP053,0.0
WAP054,0.0
WAP055,0.0006471795800691331
WAP056,0.0007207655964618333
WAP057,0.0
WAP058,0.0
WAP059,0.0002207580491781008
WAP060,0.0
WAP061,0.0
WAP062,0.0
WAP063,0.0
WAP064,0.0
WAP065,0.0
WAP066,0.0
WAP067,0.0
WAP068,0.0
WAP069,4.905734426180017e-05
WAP070,0.0
WAP071,0.0
WAP072,0.0
WAP073,0.0
WAP074,0.0
WAP075,0.0
WAP076,0.0
WAP077,0.0012056785762803966
WAP078,0.0009603918549713958
WAP079,0.0
WAP080,0.0
WAP081,0.0
WAP082,0.005213286238282842
WAP083,0.005126492475358119
WAP084,0.003447221844858036
WAP085,0.003718924059231082
WAP086,0.001198131292547812
WAP087,0.0
WAP088,0.03354956301227188
WAP089,0.034653353258162385
WAP090,0.04177044181798971
WAP091,0.041427040408157104
WAP092,0.0
WAP093,0.0
WAP094,0.0
WAP095,0.0
WAP096,0.0
WAP097,0.0
WAP098,0.0
WAP099,0.0
WAP100,0.0
WAP101,0.04352329846488248
WAP102,0.04296857311053751
WAP103,0.04581012543585564
WAP104,0.05064982112937554
WAP105,0.04736109224290178
WAP106,0.04436293378013253
WAP107,0.05523668281785385
WAP108,0.05590650424912074
WAP109,0.020451252094371233
WAP110,0.02016445531253302
WAP111,0.02839288140198342
WAP112,0.028074008664281724
WAP113,0.05379515162493018
WAP114,0.053198916210056006
WAP115,0.04826299264894564
WAP116,0.04844978792132711
WAP117,0.0
WAP118,0.0
WAP119,0.0449950187927365
WAP120,0.04343084423915833
WAP121,0.0005811408474090175
WAP122,0.0008490694199157723
WAP123,0.03813453787981706
WAP124,0.03898549412066597
WAP125,0.032285392987063954
WAP126,0.03167972346752403
WAP127,0.00022264487011124697
WAP128,0.0
WAP129,0.024451312472641092
WAP130,0.024866413077933247
WAP131,0.0016094582559736752
