AP,Score
WAP001,0.0
WAP002,0.0
WAP003,0.0
WAP004,0.0
WAP005,0.0
WAP006,0.07437790028225036
WAP007,0.0
WAP008,0.19847730458308158
WAP009,0.0
WAP010,0.03899928645238622
WAP011,0.04422358952961876
WAP012,0.042408775881862135
WAP013,0.0
WAP014,0.0
WAP015,0.2773545098328055
WAP016,0.27929723126493966
WAP017,0.004410903670297106
WAP018,0.0
WAP019,0.0
WAP020,0.0
WAP021,0.017689647755897563
WAP022,0.014246299377694348
WAP023,0.030853080306392798
WAP024,0.031800600961352864
WAP025,0.0
WAP026,0.0
WAP027,0.03162309042373135
WAP028,0.02870397736872641
WAP029,0.014961332038266707
WAP030,0.017459055904622246
WAP031,0.0
WAP032,0.0
WAP033,0.0
WAP034,0.0
WAP035,0.07374749956183976
WAP036,0.06828335864849477
WAP037,0.2857683864918009
WAP038,0.24631497699105012
WAP039,0.0
WAP040,0.0
WAP041,0.0
WAP042,0.0
WAP043,0.005791606969186613
WAP044,0.005507896963766967
WAP045,0.04025066097080652
WAP046,0.06315973724284621
WAP047,0.0
WAP048,0.0
WAP049,0.003933162435781945
WAP050,0.0039002010573256918
WAP051,0.006258490690503748
WAP052,0.006399518979844565
WAP053,0.0
WAP054,0.0
WAP055,0.010649760681968745
WAP056,0.011456210322108395
WAP057,0.0
WAP058,0.0
WAP059,0.007431871373367737
WAP060,0.0
WAP061,0.0
WAP062,0.0
WAP063,0.0
WAP064,0.0
WAP065,0.0
WAP066,0.0
WAP067,0.0
WAP068,0.0
WAP069,0.004013225504318996
WAP070,0.0
WAP071,0.0
WAP072,0.0
WAP073,0.0
WAP074,0.0
WAP075,0.0
WAP076,0.0
WAP077,0.02173016854273424
WAP078,0.01926165692440267
WAP079,0.0
WAP080,0.0
WAP081,0.0
WAP082,0.05039533385719421
WAP083,0.05154418452232372
WAP084,0.039768374237400116
WAP085,0.038664148895540686
WAP086,0.018230209692067324
WAP087,0.0
WAP088,0.25910047506477485
WAP089,0.2713073214458775
WAP090,0.26103447645308664
WAP091,0.2536396186810528
WAP092,0.0
WAP093,0.0
WAP094,0.0
WAP095,0.0
WAP096,0.0
WAP097,0.0
WAP098,0.0
WAP099,0.0
WAP100,0.0
WAP101,0.2418336253317756
WAP102,0.23991275981618881
WAP103,0.2888713734635596
WAP104,0.3306808805216882
WAP105,0.27932403163529307
WAP106,0.27046017130663413
WAP107,0.29472973321700435
WAP108,0.3007372326108627
WAP109,0.13922329847260642
WAP110,0.13497364324262437
WAP111,0.1685294131034209
WAP112,0.17354992866511415
WAP113,0.2704443367116536
WAP114,0.2702275163559721
WAP115,0.26577116142814905
WAP116,0.285106792631587
WAP117,0.0
WAP118,0.0
WAP119,0.3261158818376006
WAP120,0.3135383759775932
WAP121,0.016695111911291118
WAP122,0.01720022654942408
WAP123,0.2186055247973136
WAP124,0.23938416183685085
WAP125,0.2704239645334171
WAP126,0.28214164565602606
WAP127,0.0037647145962258046
WAP128,0.0
WAP129,0.1784009814673099
WAP130,0.17454766143692843
WAP131,0.027345997034298054
WAP132,0.026169879320486755
WAP133,0.008355750870317192
