AP,Score
WAP001,0.0
WAP002,0.0
WAP003,0.0
WAP004,0.0
WAP005,0.0
WAP006,0.4411764705882353
WAP007,0.0
WAP008,0.4117647058823529
WAP009,0.0
WAP010,0.18627450980392157
WAP011,0.2549019607843137
WAP012,0.23529411764705882
WAP013,0.0
WAP014,0.0
WAP015,0.3333333333333333
WAP016,0.3333333333333333
WAP017,0.0784313725490196
WAP018,0.0
WAP019,0.0
WAP020,0.0
WAP021,0.12745098039215685
WAP022,0.12745098039215685
WAP023,0.19607843137254902
WAP024,0.19607843137254902
WAP025,0.0
WAP026,0.0
WAP027,0.20588235294117646
WAP028,0.28431372549019607
WAP029,0.1568627450980392
WAP030,0.17647058823529413
WAP031,0.0
WAP032,0.0
WAP033,0.0
WAP034,0.0
WAP035,0.2549019607843137
WAP036,0.28431372549019607
WAP037,0.49019607843137253
WAP038,0.49019607843137253
WAP039,0.0
WAP040,0.0
WAP041,0.0
WAP042,0.0
WAP043,0.16666666666666666
WAP044,0.16666666666666666
WAP045,0.1568627450980392
WAP046,0.5784313725490197
WAP047,0.0
WAP048,0.0
WAP049,0.029411764705882353
WAP050,0.0392156862745098
WAP051,0.1568627450980392
WAP052,0.16666666666666666
WAP053,0.0
WAP054,0.0
WAP055,0.16666666666666666
WAP056,0.16666666666666666
WAP057,0.0
WAP058,0.0
WAP059,0.12745098039215685
WAP060,0.0
WAP061,0.0
WAP062,0.0
WAP063,0.0
WAP064,0.0
WAP065,0.0
WAP066,0.0
WAP067,0.0
WAP068,0.0
WAP069,0.12745098039215685
WAP070,0.0
WAP071,0.0
WAP072,0.0
WAP073,0.0
WAP074,0.0
WAP075,0.0
WAP076,0.0
WAP077,0.19607843137254902
WAP078,0.2549019607843137
WAP079,0.0
WAP080,0.0
WAP081,0.0
WAP082,0.35294117647058826
WAP083,0.3627450980392157
WAP084,0.4215686274509804
WAP085,0.3627450980392157
WAP086,0.28431372549019607
WAP087,0.0
WAP088,0.5686274509803921
WAP089,0.5686274509803921
WAP090,0.5784313725490197
WAP091,0.5784313725490197
WAP092,0.0
WAP093,0.0
WAP094,0.0
WAP095,0.0
WAP096,0.0
WAP097,0.0
WAP098,0.0
WAP099,0.0
WAP100,0.0
WAP101,0.5882352941176471
WAP102,0.5882352941176471
WAP103,0.5294117647058824
WAP104,0.5686274509803921
WAP105,1.0
WAP106,0.5882352941176471
WAP107,0.5490196078431373
WAP108,0.5490196078431373
WAP109,0.5784313725490197
WAP110,0.5784313725490197
WAP111,0.5588235294117647
WAP112,0.5588235294117647
WAP113,0.5980392156862745
WAP114,0.5980392156862745
WAP115,0.6274509803921569
WAP116,0.6274509803921569
WAP117,0.0
WAP118,0.0
WAP119,0.5784313725490197
WAP120,0.5980392156862745
WAP121,0.17647058823529413
WAP122,0.16666666666666666
WAP123,0.5980392156862745
WAP124,0.5980392156862745
WAP125,0.5
WAP126,0.49019607843137253
WAP127,0.28431372549019607
WAP128,0.0
WAP129,0.5588235294117647
WAP130,0.6666666666666666
WAP131,0.22549019607843138
WAP132,0.2549019607843137
WAP133,0.14705882352941177
WAP134,0.5882352941176471
